"","Date","Team","Acquired","Relinquished","Notes"
"2","1951-12-25","Bullets",""," Don Barksdale","placed on IL"
"3","1952-12-26","Knicks",""," Max Zaslofsky","placed on IL with torn side muscle"
"4","1956-12-29","Knicks",""," Jim Baechtold","placed on inactive list"
"5","1959-01-16","Lakers",""," Elgin Baylor","player refused to play after being denied a room in team's hotel"
"6","1961-11-26","Lakers",""," Elgin Baylor","player reported for military duty"
"7","1962-03-24","Lakers"," Elgin Baylor","","player given 2-day pass from military duty"
"8","1962-03-31","Lakers"," Elgin Baylor","","player given weekend pass from military duty"
"9","1962-10-25","Zephyrs",""," Al Ferrari","placed on disabled list"
"10","1962-11-06","Zephyrs"," Al Ferrari","","activated from disabled list"
"11","1962-11-14","Zephyrs",""," Al Ferrari","placed on disabled list with knee injury"
"12","1965-09-11","Pistons",""," Terry Dischinger","service in army (date approximate)"
"13","1969-10-15","Bucks",""," Bob Greacen","placed on IL with sprained ankle"
"14","1969-10-28","Bucks"," Bob Greacen","","activated from IL"
"15","1969-12-03","Bucks",""," John Arthurs","deployed to National Guard for remainder of the season"
"16","1970-01-24","Bucks",""," Guy Rodgers","placed on IL with torn leg muscle"
"17","1971-09-15","Colonels (ABA)",""," Jim Welch / Poo Welch","placed on IL"
"18","1971-10-30","Squires (ABA)"," Doug Moe","","""activated"""
"19","1971-11-08","Chaparrals (ABA)"," Eugene Kennedy / Gene Kennedy / Goo Kennedy","","""activated"""
"20","1972-10-10","Cavaliers",""," Bobby Washington","placed on IL"
"21","1972-11-04","Cavaliers",""," Rick Roberson","placed on IL with pulled hamstring"
"22","1972-11-10","Tams (ABA)",""," Merv Jackson","placed on IL"
"23","1972-11-11","Tams (ABA)",""," Randy Denton","placed on IL"
"24","1972-11-28","Tams (ABA)"," Merv Jackson","","activated from IL"
"25","1972-12-16","Tams (ABA)"," Randy Denton","","activated from IL"
"26","1973-02-24","Kings",""," John Green (a) / Johnny Green","placed on IL"
"27","1973-02-24","Kings"," Frank Schade","","activated from IL"
"31","1973-03-19","Bulls"," Tom Boerwinkle","","activated from IL"
"41","1973-11-07","Rockets"," George Johnson (E.)","","""activated"""
"51","1974-01-31","Nets (ABA)"," Jim O'Brien (M.)","","""activated"""
"61","1974-03-27","Bucks",""," Lucius Allen","placed on IL with torn cartilage in knee (out for season)"
"71","1974-03-27","Bucks"," Dick Cunningham","","activated from IL"
"81","1974-10-16","Bucks",""," Kareem Abdul-Jabbar / Lew Alcindor","placed on IL with fractured right hand and lacerated left eye"
"91","1974-10-16","Bucks"," Dick Cunningham","","activated from IL"
"101","1974-10-17","Spirits (ABA)"," Gilbert McGregor / Gil McGregor","","""activated"""
"111","1974-10-28","Bucks",""," Dick Cunningham","placed on IL"
"121","1974-10-28","Knicks",""," Melvin Davis / Mel Davis","placed on IL with shoulder injury"
"131","1974-10-28","Knicks"," Howard Porter","","activated from IL"
"141","1974-11-05","Colonels (ABA)"," John Roche","","activated from IR"
"151","1974-11-07","Spirits (ABA)",""," Bernie Fryer","placed on IL with torn thigh muscle"
"161","1974-11-14","Knicks"," Melvin Davis / Mel Davis","","""restored to active list"""
"171","1974-11-21","Colonels (ABA)",""," Ted McClain","placed on IR with torn calf muscle"
"181","1974-12-05","Hawks",""," Lou Hudson","placed on IL with right elbow inflammation"
"191","1975-01-23","Spirits (ABA)",""," Mike Barr","placed on IL with viral illness"
"201","1975-02-25","Stars (ABA)"," Henry Wilmore","","""reactivated"""
"211","1975-03-07","Celtics"," Phil Hankinson","","""activated"""
"221","1975-10-20","Braves",""," Tom McMillen","placed on IL with bruised right heel"
"231","1975-10-22","76ers",""," LeRoy Ellis","placed on IL"
"241","1975-10-22","Knicks",""," Larry Fogle","placed on IL"
"251","1975-10-22","Pistons",""," Terry Thomas","placed on IL"
"261","1975-11-11","Braves"," Tom McMillen","","activated from IL"
"28","1975-11-24","Knicks"," Larry Fogle","","activated from IL"
"32","1976-01-17","Jazz",""," Ron Behagen","placed on IL with hairline fracture below left eye (date approximate)"
"42","1976-02-16","Jazz"," Ron Behagen","","activated from IL"
"52","1976-10-20","76ers",""," Clyde Lee","placed on IL"
"62","1976-10-20","76ers",""," Mel Bennett","placed on IL"
"72","1976-10-20","Bucks",""," Lloyd Walton","placed on IL"
"82","1976-10-20","Cavaliers",""," Chuck Williams / Chuckie Williams","placed on IL"
"92","1976-10-20","Cavaliers",""," Luke Witte","placed on IL"
"102","1976-10-20","Hawks",""," Geoff Petrie","placed on IL"
"112","1976-10-20","Knicks",""," Alfred Beard / Butch Beard","placed on IL"
"122","1976-10-20","Knicks",""," Jim Barnett","placed on IL"
"132","1976-10-20","Pistons",""," John Mengelt","placed on IL"
"142","1976-10-20","Sonics",""," Dean Tolson","placed on IL"
"152","1976-10-20","Warriors",""," Dwight Davis","placed on IL"
"162","1976-11-01","Lakers",""," Stu Lantz","placed on IL (date approximate)"
"172","1976-11-10","Bucks",""," Kevin Restani","placed on IL"
"182","1976-12-11","Bucks"," Kevin Restani","","activated from IL"
"192","1976-12-15","Bulls",""," Jack Marin","placed on IL recovering from surgery to remove benign tumor in groin area"
"202","1977-01-12","Bulls",""," Keith Starr","placed on IL (date approximate)"
"212","1977-01-12","Jazz",""," Gail Goodrich","placed on IL with Achilles tendon injury"
"222","1977-02-02","Bulls",""," Leon Benbow","placed on IL"
"232","1977-09-30","Celtics",""," Steve Kuberski","placed on IL"
"242","1977-10-17","76ers",""," Wilson Washington","placed on IL"
"252","1977-10-17","Lakers",""," Kenny Carr","placed on IL"
"262","1977-10-17","Sonics",""," Dean Tolson","placed on IL"
"29","1977-10-17","Suns",""," Ira Terrell","placed on IL"
"33","1977-10-18","Lakers",""," Kareem Abdul-Jabbar / Lew Alcindor","placed on IL with fractured hand"
"43","1977-11-10","Lakers",""," Don Chaney","placed on IL with fractured right thumb"
"53","1977-11-14","Cavaliers",""," Terry Furlow","placed on IL"
"63","1977-11-14","Hawks",""," Claude Terry","placed on IL"
"73","1977-11-14","Nets",""," Jan van Breda Kolff","placed on IL"
"83","1977-11-14","Pistons"," Al Eberhard","","""reactivated"""
"93","1977-11-14","Spurs",""," James Silas","placed on IL"
"103","1977-11-24","Celtics"," Steve Kuberski","","activated from IL"
"113","1977-11-29","Hawks",""," John Drew","placed on IL"
"123","1977-11-29","Hawks",""," Steve Hawes","placed on IL"
"133","1977-11-29","Hawks"," Claude Terry","","""reactivated"""
"143","1978-01-07","Bulls",""," Jim Ard","placed on IL"
"153","1978-02-01","Jazz",""," Fred Boyd / Freddie Boyd","placed on IL"
"163","1978-02-10","Celtics",""," Tom Boswell","placed on IL with dislocated pinky finger on right hand"
"173","1978-02-17","Bulls",""," Scott May","placed on IL"
"183","1978-02-23","Celtics"," Jo Jo White","","activated from IL"
"193","1978-02-24","Celtics",""," Curtis Rowe","placed on IL"
"203","1978-03-07","Braves",""," Billy Knight","placed on IL"
"213","1978-10-11","Kings",""," Lucius Allen","placed on IL"
"223","1978-10-12","Blazers",""," Bob Gross","placed on IL"
"233","1978-10-12","Blazers",""," Maurice Lucas","placed on IL"
"243","1978-10-12","Bucks",""," George Johnson (Lee)","placed on IL"
"253","1978-10-12","Bulls",""," Len Kosmalski","placed on IL"
"263","1978-10-12","Bulls",""," Tate Armstrong","placed on IL"
"210","1978-10-12","Celtics",""," Curtis Rowe","placed on IL"
"34","1978-10-12","Clippers",""," Jerome Whitehead","placed on IL"
"44","1978-10-12","Hawks",""," Geoff Petrie","placed on IL"
"54","1978-10-12","Hawks",""," Mike Sojourner","placed on IL"
"64","1978-10-12","Pistons",""," John Shumate","placed on IL"
"74","1978-10-12","Warriors",""," E.C. Coleman","placed on IL"
"84","1978-10-12","Warriors",""," Wesley Cox","placed on IL"
"94","1978-10-29","Knicks"," John Rudd","","activated"
"104","1978-10-31","Cavailers"," Bobby Smith (b) / Bingo Smith","","""reactivated"""
"114","1978-10-31","Cavaliers",""," Clarence Walker / Foots Walker","placed on IL"
"124","1978-11-01","Celtics",""," Marvin Barnes","placed on IL"
"134","1978-11-01","Celtics"," Curtis Rowe","","activated from IL"
"144","1978-12-15","Hawks"," Charlie Criss","","activated from IL"
"154","1978-12-28","Pistons"," John Shumate","","activated from IL"
"164","1979-01-13","Pistons",""," Ben Poquette","placed on IL with sprained left foot"
"174","1979-01-13","Pistons",""," John Shumate","placed on IL with blood clots in lungs"
"184","1979-01-14","Celtics",""," Nate Archibald","placed on IL with flu"
"194","1979-01-23","Pistons"," Ben Poquette","","""reactivated"""
"204","1979-02-01","Kings"," Lucius Allen","","activated from IL"
"214","1979-02-08","Blazers",""," Dave Twardzik","placed on IL"
"224","1979-02-20","Knicks",""," Marvin Webster","placed on IL"
"234","1979-02-23","Bulls",""," Charles Dudley","placed on IL"
"244","1979-02-23","Bulls"," Tate Armstrong","","activated from IL"
"254","1979-04-02","Nuggets",""," George McGinnis","placed on IL"
"264","1979-04-02","Nuggets"," Geoff Crompton","","activated from IL"
"215","1979-10-08","Cavaliers",""," Butch Lee","placed on IL"
"35","1979-10-08","Cavaliers",""," Elmore Smith","placed on IL"
"45","1979-10-10","Jazz",""," Carl Kilpatrick","placed on IL with surgery on right knee"
"55","1979-10-10","Spurs",""," Sylvester Norris","placed on IL"
"65","1979-10-10","Suns",""," Bayard Forrest","placed on IL"
"75","1979-10-11","76ers",""," Clint Richardson","placed on IL"
"85","1979-10-11","Blazers",""," Dave Twardzik","placed on IL"
"95","1979-10-11","Blazers",""," Maurice Lucas","placed on IL"
"105","1979-10-11","Blazers",""," Mychal Thompson","placed on IL"
"115","1979-10-11","Bullets",""," Mitch Kupchak","placed on IL"
"125","1979-10-11","Bullets",""," Steve Malovic","placed on IL"
"135","1979-10-11","Cavaliers",""," Clarence Walker / Foots Walker","placed on IL"
"145","1979-10-11","Knicks",""," Earl Monroe","placed on IL with right hip inflammation"
"155","1979-10-11","Knicks",""," Marvin Webster","placed on IL with right knee tendinitis"
"165","1979-10-11","Nets",""," Bob Elliott","placed on IL"
"175","1979-10-11","Pacers",""," John Kuester","placed on IL"
"185","1979-10-11","Pacers",""," Len Elmore","placed on IL"
"195","1979-10-11","Pistons",""," Earl Evans","placed on IL with sprained right ankle"
"205","1979-10-11","Rockets",""," Allen Leavell","placed on IL"
"216","1979-10-11","Rockets",""," Paul Mokeski","placed on IL"
"225","1979-10-11","Warriors",""," Phil Smith","placed on IL"
"235","1979-10-25","76ers"," Clint Richardson","","activated from IL"
"245","1979-11-01","Pacers"," Tony Zeno","","activated"
"255","1979-11-07","Blazers"," Bob Gross","","activated from IL"
"265","1979-11-11","Jazz",""," Bernard King","placed on IL with sprained left ankle"
"217","1979-11-16","Clippers"," John Olive","","""activated"""
"36","1979-11-21","Kings",""," Mike Green","placed on IL"
"46","1979-11-21","Kings"," Tom Burleson","","activated from IL"
"56","1979-11-23","Bullets"," Mitch Kupchak","","activated from IL"
"66","1979-11-28","Rockets"," Mike Dunleavy Sr.","","activated from IL"
"76","1979-12-04","Clippers"," Bill Walton","","activated"
"86","1979-12-04","Pistons",""," Greg Kelser","placed on IL"
"96","1979-12-04","Pistons"," Terry Duerod","","activated"
"106","1979-12-05","Bullets"," Kevin Grevey","","activated"
"116","1979-12-07","Rockets",""," Tom Henderson","placed on IL"
"126","1979-12-07","Rockets"," Rudy Tomjanovich","","activated"
"136","1979-12-15","Warriors",""," Tom Abernethy","placed on IL"
"146","1979-12-16","Jazz"," Bernard King","","activated from IL"
"156","1979-12-21","Hawks",""," Ron Lee","placed on IL"
"166","1980-01-03","Jazz"," Paul Dawkins","","activated"
"176","1980-01-03","Warriors"," Tom Abernethy","","activated from IL"
"186","1980-01-18","Pistons"," Greg Kelser","","activated from IL"
"196","1980-01-22","Cavaliers",""," Michael Russell / Campy Russell","placed on IL with knee injury (date approximate)"
"206","1980-01-22","Cavaliers"," Earl Tatum","","activated"
"218","1980-01-30","Clippers",""," Steve Malovic","placed on IL"
"226","1980-02-22","Spurs",""," Wiley Peck","placed on IL"
"236","1980-03-14","Pistons",""," Earl Evans","placed on IL"
"246","1980-03-14","Pistons"," Kent Benson","","""reactivated"""
"256","1980-03-22","Jazz",""," Adrian Dantley","placed on IL"
"266","1980-10-08","Clippers",""," Bill Walton","placed on IL with foot inujry"
"219","1980-10-08","Kings",""," Mel Bennett","placed on IL"
"37","1980-10-08","Nuggets",""," James Ray (b)","placed on IL"
"47","1980-10-08","Pistons",""," Bob McAdoo","placed on IL"
"57","1980-10-08","Suns",""," Don Buse","placed on IL"
"67","1980-10-09","76ers",""," Andrew Toney","placed on IL with sprained ankle"
"77","1980-10-09","Blazers",""," Dave Twardzik","placed on IL"
"87","1980-10-09","Blazers",""," Larry Steele","placed on IL"
"97","1980-10-09","Bulls",""," Ronnie Lester","placed on IL"
"107","1980-10-09","Hawks",""," Tom Burleson","placed on IL with fractured wrist"
"117","1980-10-09","Hawks",""," Wayne Rollins / Tree Rollins","placed on IL"
"127","1980-10-09","Knicks",""," Hollis Copeland","placed on IL with sprained left knee"
"137","1980-10-09","Knicks",""," Toby Knight","placed on IL with torn ACL in left knee"
"147","1980-10-09","Lakers",""," Myles Patrick","placed on IL"
"157","1980-10-09","Lakers",""," Tony Jackson","placed on IL"
"167","1980-10-23","Bulls"," Ronnie Lester","","activated from IL"
"177","1980-11-03","Bulls",""," Ronnie Lester","placed on IL"
"187","1980-11-05","Lakers",""," Clarence Carter / Butch Carter","placed on IL"
"197","1980-11-05","Lakers"," Tony Jackson","","activated from IL"
"207","1980-11-06","Bullets",""," John Williamson","placed on IL"
"2110","1980-11-07","Hawks",""," Wayne Rollins / Tree Rollins","placed on IL"
"227","1980-11-07","Hawks"," Tom Burleson","","activated"
"237","1980-11-10","Jazz",""," John Duren","placed on IL with surgery on right knee"
"247","1980-11-18","Cavaliers"," John Lambert","","activated from IL"
"257","1980-11-21","76ers",""," Doug Collins","placed on IL recovering from surgery on knee"
"267","1980-11-21","Nets"," Maurice Lucas","","""activated"""
"220","1980-12-05","Celtics",""," M.L. Carr","placed on IL"
"38","1980-12-05","Pistons",""," John Long","placed on IL"
"48","1980-12-09","Rockets",""," Calvin Garrett","placed on IL"
"58","1980-12-09","Rockets"," John Stroud","","activated from IL"
"68","1980-12-10","Nuggets",""," James Ray (b)","placed on IL"
"78","1980-12-10","Nuggets",""," John Roche","placed on IL"
"88","1980-12-16","Bullets",""," Bob Dandridge","placed on IL with unknown injury (date approximate)"
"98","1980-12-18","Pistons",""," Greg Kelser","placed on IL"
"108","1980-12-18","Pistons"," Bob McAdoo","","activated from IL"
"118","1980-12-18","Sonics"," Paul Westphal","","""activated"""
"128","1980-12-21","Pistons",""," John Long","placed on IL with knee injury"
"138","1980-12-29","Pistons",""," Bob McAdoo","placed on IL"
"148","1981-01-02","Mavericks",""," Ralph Drollinger","placed on IL"
"158","1981-01-02","Pistons"," John Long","","activated from IL"
"168","1981-01-15","Bullets",""," Rick Mahorn","placed on IL"
"178","1981-01-15","Knicks",""," Sylvester Williams / Sly Williams","placed on IL"
"188","1981-01-18","Jazz",""," Rickey Green","placed on IL with sprained right wrist"
"198","1981-01-18","Jazz"," John Duren","","activated from IL"
"208","1981-01-26","Knicks"," Sylvester Williams / Sly Williams","","""reactivated"""
"2111","1981-01-26","Pistons",""," Kent Benson","placed on IL"
"228","1981-01-28","Bullets",""," Austin Carr","placed on IL"
"238","1981-01-28","Bullets"," Bob Dandridge","","activated from IL"
"248","1981-02-06","Hawks",""," James McElroy / Jim McElroy","placed on IL"
"258","1981-03-06","Bulls",""," Scott May","placed on IL"
"268","1981-03-06","Bulls"," Ronnie Lester","","activated from IL"
"229","1981-03-17","Nuggets",""," Cedrick Hordges","placed on IL"
"39","1981-03-17","Nuggets"," James Ray (b)","","activated"
"49","1981-11-10","Knicks"," Bill Cartwright","","activated from IL"
"59","1981-11-10","Nets"," Albert King","","activated"
"69","1981-11-16","Bucks",""," Junior Bridgeman","placed on IL"
"79","1981-11-18","Hawks"," John Drew","","activated from IL"
"89","1981-11-25","Bucks"," Junior Bridgeman","","activated from IL"
"99","1981-12-02","Jazz",""," Howard Wood","placed on IL with left eye hemorrage"
"109","1981-12-21","Blazers"," Kevin Kunnert","","activated from IL"
"119","1981-12-26","Knicks"," Toby Knight","","activated from IL"
"129","1982-01-26","Blazers"," Kevin Kunnert","","""activated"""
"139","1982-02-07","Pistons",""," Edgar Jones","placed on IL"
"149","1982-03-17","Bucks",""," Junior Bridgeman","placed on IL"
"159","1982-03-31","Knicks"," Toby Knight","","""activated"""
"169","1982-04-06","Sonics",""," Mark Radford","placed on IL"
"179","1982-04-06","Sonics"," Phil Smith","","""activated"""
"189","1982-10-22","Nets",""," Mike O'Koren","placed on IL with bruised buttocks"
"199","1982-10-26","Mavericks",""," Corny Thompson","placed on IL with bone chips in right elbow"
"209","1982-10-28","Bucks",""," Charlie Criss","placed on IL with bursitis in right hip"
"2112","1982-10-28","Bullets",""," Kevin Grevey","placed on IL with pulled abdominal muscle"
"2210","1982-10-28","Cavaliers",""," James Silas","placed on IL"
"239","1982-10-28","Cavaliers",""," Richard Washington","placed on IL"
"249","1982-10-28","Knicks",""," Michael Russell / Campy Russell","placed on IL with recovering from surgery on right knee to repair torn ACL in right knee"
"259","1982-10-28","Knicks",""," Toby Knight","placed on IL with knee injury"
"269","1982-10-28","Pistons",""," Tom Owens","placed on IL with broken right thumb"
"230","1982-10-28","Suns",""," Craig Dykema","placed on IL with broken left arm"
"310","1982-10-28","Warriors",""," Derek Smith","placed on IL"
"410","1982-10-28","Warriors",""," Jeff Jones","placed on IL"
"510","1982-10-28","Warriors",""," Mike Gale","placed on IL"
"610","1982-11-08","Lakers"," Clay Johnson","","activated from IL"
"710","1982-11-10","Bucks",""," Harvey Catchings","placed on IL with bruised kneecap"
"810","1982-11-10","Bucks"," Charlie Criss","","activated from IL"
"910","1982-11-10","Warriors",""," Joe Hassett","placed on IL with broken forearm"
"1010","1982-11-10","Warriors"," Derek Smith","","activated from IL"
"1110","1982-11-24","Pistons"," Tom Owens","","activated from IL"
"1210","1982-11-26","Pistons",""," Kelly Tripucka","placed on IL with knee injury"
"1310","1982-11-28","Pistons",""," Kent Benson","placed on IL with strained ligaments in left knee"
"1410","1982-12-10","Bucks",""," Steve Mix","placed on IL with sprained right ankle"
"1510","1982-12-20","Pistons"," Kent Benson","","activated from IL"
"1610","1982-12-21","Hawks"," Tom McMillen","","activated from IL (date approximate)"
"1710","1982-12-26","Bucks",""," Brian Winters","placed on IL with strained hamstring"
"1810","1982-12-27","Mavericks"," Corny Thompson","","activated from IL"
"1910","1982-12-29","Nuggets",""," Rich Kelley","placed on IL"
"2010","1983-01-06","Bucks"," Steve Mix","","activated from IL"
"2113","1983-01-07","Blazers",""," Darnell Valentine","placed on IL with broken left foot"
"2211","1983-01-10","Pistons"," Kelly Tripucka","","activated from IL"
"2310","1983-01-11","Warriors"," Derek Smith","","activated from IL"
"2410","1983-01-18","Spurs",""," Ed Rains","placed on IL with knee injury"
"2510","1983-02-01","Bucks",""," Charlie Criss","placed on IL with strep throat"
"2610","1983-02-01","Bucks"," Brian Winters","","activated from IL"
"240","1983-02-01","Pistons"," Cliff Levingston","","activated from IL"
"311","1983-02-07","Suns",""," Joel Kramer","placed on IL"
"411","1983-02-15","Kings"," Kenny Dennard","","activated from IL"
"511","1983-02-16","Lakers",""," Ed Jordan / Eddie Jordan","placed on IL with pulled groin"
"611","1983-02-17","Pistons",""," Kent Benson","placed on IL with strained knee ligaments"
"711","1983-02-23","Knicks",""," Vince Taylor","placed on IL with nose injury"
"811","1983-02-25","Bucks"," Brian Winters","","activated from IL"
"911","1983-02-25","Suns",""," James Edwards","placed on IL"
"1011","1983-03-02","Bulls",""," Orlando Woolridge","placed on IL with torn ligament in right knee"
"1111","1983-03-03","Blazers",""," Pete Verhoeven","placed on IL with knee injury"
"1211","1983-03-03","Blazers"," Darnell Valentine","","activated from IL"
"1311","1983-03-06","Bulls",""," Ronnie Lester","placed on IL with fractured right kneecap"
"1411","1983-03-08","Lakers"," Ed Jordan / Eddie Jordan","","activated from IL"
"1511","1983-03-12","Blazers",""," Darnell Valentine","placed on IL"
"1611","1983-03-12","Blazers"," Audie Norris","","activated from IL"
"1711","1983-03-22","Blazers"," Darnell Valentine","","activated from IL"
"1811","1983-03-23","Nets",""," Otis Birdsong","placed on IL with stress fracture in pelvis"
"1911","1983-04-01","Suns",""," David Thirdkill","placed on IL with viral infection"
"2011","1983-04-01","Suns"," James Edwards","","activated from IL"
"2114","1983-04-04","Rockets"," Chuck Nevitt","","activated"
"2212","1983-04-15","Nets"," Otis Birdsong","","activated from IL"
"2311","1983-04-16","Lakers",""," Ed Jordan / Eddie Jordan","placed on IL with bruised toe"
"2411","1983-04-16","Lakers"," Bob McAdoo","","activated from IL"
"2511","1983-10-25","Suns",""," Charles Pittman","placed on IL"
"2611","1983-10-26","Celtics",""," Winfred King","placed on IL"
"250","1983-10-26","Lakers",""," Clay Johnson","placed on IL"
"312","1983-10-26","Lakers",""," Kurt Rambis","placed on IL"
"412","1983-10-26","Lakers",""," Mitch Kupchak","placed on IL"
"512","1983-10-27","Knicks",""," Eric Fernsten","placed on IL"
"612","1983-10-28","Kings",""," Mike Woodson","placed on IL with arthroscopic surgery to repair torn cartilage in right knee"
"712","1983-10-31","Warriors",""," Ron Brewer","placed on IL with shoulder injury"
"812","1983-11-01","Nets",""," Clarence Walker / Foots Walker","placed on IL with foot injury"
"912","1983-11-08","Bucks",""," Charlie Criss","placed on IL with strained foot"
"1012","1983-11-11","Spurs"," Roger Phegley","","activated from IL"
"1112","1983-11-15","Hawks",""," Armond Hill","placed on IL with broken nose"
"1212","1983-11-15","Hawks"," Billy Paultz","","activated from IL"
"1312","1983-11-16","Suns",""," James Edwards","placed on IL with hand injury"
"1412","1983-11-16","Suns"," Charles Pittman","","activated from IL"
"1512","1983-11-18","Lakers"," Mitch Kupchak","","activated from IL"
"1612","1983-11-22","Kings"," Mike Woodson","","activated from IL"
"1712","1983-11-24","Suns",""," Paul Westphal","placed in IL with strained left leg"
"1812","1983-11-24","Suns"," James Edwards","","activated from IL"
"1912","1983-12-01","Warriors",""," Ron Brewer","placed on IL with hand injury"
"2012","1983-12-04","Suns",""," Rick Robey","placed on IL for knee surgery"
"2115","1983-12-04","Suns"," Paul Westphal","","activated from IL"
"2213","1983-12-20","Knicks"," Eric Fernsten","","activated from IL"
"2312","1983-12-20","Nets"," Clarence Walker / Foots Walker","","activated from IL"
"2412","1983-12-30","Lakers"," Earvin Johnson / Magic Johnson","","activated from IL"
"2512","1984-01-01","Blazers",""," Darnell Valentine","placed on IL with broken bone in left hand"
"2612","1984-01-03","Spurs",""," Johnny Moore","placed on IL with broken right index finger (out ~4 weeks)"
"260","1984-01-07","Lakers",""," Larry Spriggs","placed on IL with hip pointer"
"313","1984-01-07","Lakers"," Kurt Rambis","","activated from IL"
"413","1984-01-10","Suns",""," Paul Westphal","placed on IL with sore right leg (out 2-3 weeks)"
"513","1984-01-10","Warriors",""," Eric Floyd / Sleepy Floyd","placed on IL with sprained ankle"
"613","1984-01-10","Warriors"," Ron Brewer","","activated from IL"
"713","1984-01-13","Sonics",""," Clay Johnson","placed on IL"
"813","1984-01-19","Warriors",""," Russell Cross","placed on IL with strained knee"
"913","1984-01-19","Warriors"," Eric Floyd / Sleepy Floyd","","activated from IL"
"1013","1984-01-24","Sonics",""," Fred Brown","placed on IL"
"1113","1984-01-24","Sonics"," Clay Johnson","","activated from IL"
"1213","1984-02-01","Suns"," Paul Westphal","","activated from IL"
"1313","1984-02-02","76ers",""," Leo Rautins","placed on IL with ankle injury"
"1413","1984-02-05","Blazers"," Darnell Valentine","","activated from IL"
"1513","1984-02-13","Sonics",""," Clay Johnson","placed on IL with knee injury"
"1613","1984-02-13","Sonics"," Fred Brown","","activated from IL"
"1713","1984-02-18","Pacers",""," Herb Williams","placed on IL with sprained ankle"
"1813","1984-03-02","Lakers",""," Calvin Garrett","placed on IL with knee imflammation"
"1913","1984-03-02","Lakers"," Larry Spriggs","","activated from IL"
"2013","1984-03-09","Pacers"," Herb Williams","","activated from IL"
"2116","1984-03-31","Kings",""," Joe Meriweather / Joe C. Meriweather","placed on IL with sprained left foot"
"2214","1984-10-12","Kings",""," Ed Nealy","placed on IL with bruised right calf (out 6-8 weeks)"
"2313","1984-10-23","Lakers",""," Earl Jones","placed on IL with right foot sesamoiditis"
"2413","1984-10-23","Nets",""," Clarence Walker / Foots Walker","placed on IL with right knee inflammation"
"2513","1984-10-25","Bucks",""," Ricky Pierce","placed on IL"
"2613","1984-10-25","Cavaliers",""," Lonnie Shelton","placed on IL"
"270","1984-10-25","Cavaliers",""," Paul Thompson","placed on IL"
"314","1984-10-25","Nets",""," Albert King","placed on IL with back spasms"
"414","1984-10-25","Pacers",""," Clark Kellogg","placed on IL recovering from arthroscopic surgery on left knee"
"514","1984-10-25","Sonics",""," John Schweitz","placed on IL"
"614","1984-10-25","Sonics",""," Reggie King","placed on IL"
"714","1984-11-05","Cavaliers"," Paul Thompson","","activated from IL"
"814","1984-11-06","Hawks"," Scott Hastings","","activated from IL"
"914","1984-11-06","Pistons",""," Dan Roundfield","placed on IL with strained left calf muscle"
"1014","1984-11-07","Cavaliers",""," Ron Anderson","placed on IL with stress fracture in left femur"
"1114","1984-11-08","Knicks",""," Eddie Lee Wilkins","placed on IL with sprained ankle"
"1214","1984-11-09","Pacers"," Clark Kellogg","","activated from IL"
"1314","1984-11-20","Pistons"," Dan Roundfield","","activated from IL"
"1414","1984-11-24","Pistons",""," Kelly Tripucka","placed on IL with pulled hamstring (date approximate)"
"1514","1984-11-24","Suns",""," Larry Nance Sr.","placed on IL"
"1614","1984-11-24","Suns",""," Rod Foster","placed on IL"
"1714","1984-11-26","Knicks",""," Bill Cartwright","placed on IL with fractured metatarsal bone in left foot"
"1814","1984-11-26","Knicks"," Eddie Lee Wilkins","","activated from IL"
"1914","1984-11-27","Lakers",""," Earl Jones","placed on IL with sprained right ankle & foot inflammation"
"2014","1984-12-12","Nets",""," Albert King","placed on IL with pulled groin"
"2117","1984-12-12","Nets"," Tom LaGarde","","activated from IL"
"2215","1984-12-14","Kings",""," Larry Drew I","placed on IL with sprained left foot"
"2314","1984-12-17","Bucks"," Ricky Pierce","","activated from IL"
"2414","1984-12-18","Nets"," Darryl Dawkins","","activated from IL"
"2514","1984-12-21","Cavaliers",""," Edgar Jones","placed on IL with calcium deposit in left leg"
"2614","1984-12-27","Nets",""," Otis Birdsong","placed on IL"
"271","1984-12-29","Rockets",""," Allen Leavell","placed on IL with right ankle inflammation"
"315","1985-01-10","Pacers",""," Bill Garnett","placed on IL with dislocated finger"
"415","1985-01-14","Bulls",""," Caldwell Jones","placed on IL with broken left hand"
"515","1985-01-28","Cavaliers"," Ron Anderson","","activated from IL"
"615","1985-01-31","Suns"," Walter Davis (P.)","","activated from IL"
"715","1985-02-07","Jazz",""," Mitchell Anderson / J.J. Anderson","placed on IL with calf injury"
"815","1985-02-11","Bucks",""," Mike Dunleavy Sr.","placed on IL with back injury"
"915","1985-02-12","Jazz"," Bobby Hansen","","activated from IL"
"1015","1985-02-13","Bullets",""," Frank Johnson","placed on IL with fractured fourth metatarsal bone in left foot"
"1115","1985-02-17","Clippers",""," Bill Walton","placed on IL with sore foot"
"1215","1985-02-18","Nets",""," Mike O'Koren","placed on IL with broken arm"
"1315","1985-02-20","Celtics",""," Cedric Maxwell","placed on IL for arthroscopic surgery on knee"
"1415","1985-02-28","Clippers"," Bill Walton","","activated from IL"
"1515","1985-03-02","Clippers",""," Jay Murphy","placed on IL with torn cartilage in knee"
"1615","1985-03-19","Suns",""," Larry Nance Sr.","placed on IL with pulled groin muscle (out ~7 games)"
